电影,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,又名
Free! 男子游泳部 特别版,河浪荣作,横谷昌宏,岛崎信长/铃木达央/代永翼/平川大辅/宫野真守/细谷佳正/宫田幸季/铃村健一/丰永利行/内山昂辉/野岛健儿/日野聪/铃木千寻/渡边明乃/雪野五月/家中宏/津田健次郎,剧情/动画/运动,日本,日语,2017-10-28(日本),100分钟,特别版FREE!男子游泳部–TakeYourMarks–(台)/特別版Free!TakeYourMarks
逃离索比堡,杰克·高德,理查德·拉什克/雷金纳德·罗斯,艾伦·阿金/乔安娜·帕库拉/鲁特格尔·哈尔/HartmutBecker/杰克·谢菲尔德,剧情/惊悚/战争,英国/南斯拉夫,英语,1987-04-12(美国),143分钟,死亡集中營/BekstvoizSobibora
贤治之春,河森正治,河森正治,佐野史郎/国府田真里子/磯部弘/大塚周夫/平井直子/藤村恵一,剧情/动画/传记,日本,日语,1996-12-14(日本),57分钟,春与修罗/IhatovGensou:KenjinoHaru/Kenji'sSpring/SpringandChaos
流浪艺人,西奥·安哲罗普洛斯,西奥·安哲罗普洛斯,伊娃·科塔曼尼多/AlikiGeorgouli/StratosPahis/VangelisKazan/MariaVassiliou,剧情/历史/战争,希腊,希腊语,1975-07,230分钟,演员游记/巡回剧团/TheTravellingPlayers/Othiasos
皮罗斯马尼,格奥尔基·申格拉亚,ErlomAkhvlediani/格奥尔基·申格拉亚,AvtandilVarazi/DodoAbashidze/ZurabKapianidze/BorisTsipuria/AmirKakabadze,剧情/传记,苏联,俄语/格鲁吉亚语/法语,1972-05-15(苏联),USA:85分钟/Germany:105分钟,Pirosmani
解放,尤里·奥泽洛夫,尤里·邦达列夫/奥斯卡·库尔干诺夫/尤里·奥泽洛夫,米哈伊尔·诺日金/尼古拉·奥利亚宁/米哈伊尔·乌里扬诺夫/拉里莎·戈卢布金娜/BukhutiZakariadze/瓦西里·舒克申/尼古拉·雷布尼科夫/弗拉季斯拉夫·斯特尔热利奇克/YevgeniBurenkov/阿纳托利·罗马申/彼得·谢尔巴科夫/伊万·彼列维捷夫/弗拉德连·达维多夫/谢尔盖·哈钦科/德米特里·弗兰科/TõnuAav/FredAlexander/IngridAndrina/维克多·阿夫久什科/IrenAzer/ViktorBajkov/MarthaBeschort-Diez/NikolaiBogolyubov/ViktorBortsov/芭芭拉·布雷尔斯卡/格奥尔基·布尔科夫/OttoDierichs/FritzDiez/维尔纳·迪塞尔/尤里·杜布罗温/扬·恩格莱特/尼古拉·叶廖缅科/OlevEskola/FritzErnstFechner/伊沃·加拉尼/ErichGerberding/HorstGiese/阿列克谢·格拉济林/彼得·格列博夫/韦恩泽斯洛·格林斯基/米哈伊尔·格鲁兹斯基/汉约·哈塞/GerdMichaelHenneberg/YuriKamornyj/ArtyomKarapetyan/弗拉基米尔·卡什普尔/RomanKhomyatov/尤里·基列耶夫/SeppKlose/米哈伊尔·科克舍诺夫/弗拉基米尔·科列涅夫/Hans-HartmutKrüger/列昂尼德·库拉夫廖夫/亚历山大·库兹涅佐夫/阿纳托利·库兹涅佐夫/HerbertKörbs/HansUlrichLaufer/彼得·柳别什金/IgnacyMachowski/FredMahr/HeinoMandri/PeterMarx/GrigoryMikhaylov/IvanMikolajchuk/尤里·纳扎罗夫/谢尔盖·尼科年科/ValeriNosik/达尼尔·奥勒布里斯基/维尔弗里德·奥特曼/弗洛林·彼耶尔西克/列夫·波利亚科夫,剧情/爱情/战争,苏联/东德/波兰,俄语/德语/意大利语/波兰语/英语/法语,1970-05-07,487分钟/EastGermany:439分钟(5部分)/USA:118分钟,Osvobozhdenie/Befreiung/Felszabadítás/Libération/Liberation/Suuriläpimurto/TaisteluBerliinistä/TheGreatBattle/Wyzwolenie
决战之后,李前宽/肖桂云,郑重,古月/李法曾/黄凯,剧情/战争,中国大陆,汉语普通话,,161分钟,AftertheFinalBattle
罗宾汉,沃夫冈·雷瑟曼,KenAnderson/拉里·克莱蒙斯,BrianBedford/彼得·乌斯蒂诺夫/菲尔·哈里斯/卡罗尔·谢利/安迪·德怀恩,爱情/动画/家庭/冒险,美国,英语,1973-11-08(美国),83分钟,侠盗罗宾汉
飞翔吧！埼玉,武内英树,德永友一/魔夜峰央,二阶堂富美/神威乐斗/伊势谷友介/京本政树/汤姆大哥/麻生久美子/岛崎遥香/成田凌/间宫祥太朗/益若翼/武田久美子/磨赤儿/竹中直人/中尾彬,喜剧,日本,日语,2019-01-11(上海日本新片展)/2019-02-22(日本),107分钟,飞翔琦玉
亨利六世：第二部分,多米尼克·库克,本·鲍尔,本尼迪克特·康伯巴奇/安德鲁·斯科特/凯莉·霍威/本·丹尼尔斯/汤姆·斯图里奇/苏菲·奥康内多/詹姆斯·弗雷特/本·迈尔斯/菲比·福克斯/安东·莱瑟/杰森·沃特金斯/阿德里安·敦巴/斯坦利·汤森德,剧情/历史,英国,英语,2016-05-14(英国),123分钟,空王冠：玫瑰战争2/TheHollowCrown:TheWarsOfTheRoses2
长夜漫漫路迢迢,西德尼·吕美特,尤金·奥尼尔,凯瑟琳·赫本/拉尔夫·理查德森/杰森·罗巴兹/迪恩·斯托克维尔,剧情,美国,英语,1962-10-09(美国),174分钟,进入黑夜的漫长旅程/长日入夜行/昼夜旅行
弗兰西斯,格雷姆·克利福德,埃里克·伯格恩/克里斯托弗·德沃雷/尼古拉斯·卡赞,杰西卡·兰格/金·斯坦利/山姆·夏普德/巴特·伯恩斯/乔纳森·班克斯/邦妮·芭利特/詹姆斯·布罗德黑德/简·詹金斯/乔丹·查尼/罗德·科尔宾/丹尼尔·乔多斯/唐纳德·克雷格/莎拉·坎宁安/李·德布鲁/杰弗里·德曼,剧情/传记,美国,英语,1982-12-03,140分钟,法兰西丝/弗朗西丝/红伶劫
赛文奥特曼 我是地球人,神澤信一/満留浩昌,武上纯希,南条弘二/山崎勝之/正岡邦夫/古賀亘/鵜川薫/あだち理絵子,剧情/动作/科幻,日本,日语,1999-12-31,73分钟,UltraSeven-IAmanEarthling/超人七号我是地球人/超人七星侠我是地球人/超人力霸王赛文我是地球人
第四十一,格利高利·丘赫莱依,格里戈里·科尔图诺夫/鲍里斯·拉甫列涅夫,伊佐尔达·伊兹维茨卡娅/奥列格·斯特里仁诺夫/尼古拉·克留奇科夫/NikolaiDupak,剧情/爱情/战争,苏联,俄语,1956-10-15,88分钟,TheForty-first/Sorokpervyy
搬家,相米慎二,奥寺佐渡子/小此木聪,中井贵一/樱田淳子/田畑智子,剧情,日本,日语,1993-03-20,124分钟,Moving
谋杀启事,约翰·史翠兰,斯图尔特·哈考特/阿加莎·克里斯蒂,杰拉尔丁·麦克伊万/佐伊·沃纳梅克/伊莲·佩姬/凯莉·霍威/克里斯蒂安·库尔森/切瑞·朗吉/西耶娜·盖尔利/弗兰西斯·巴贝,剧情/悬疑/犯罪,英国,英语,2005-01-02(英国),94分钟,
善意的谎言,彼德·卡索维茨,迪戴尔·德科恩/彼德·卡索维茨,罗宾·威廉姆斯/汉娜·泰勒-高登/ÉvaIgó/IstvánBálint/尤斯图斯·冯·多赫纳尼/列维·施瑞博尔/艾伦·阿金,剧情/喜剧/战争,法国/美国/匈牙利,英语,1999-09-24,120分钟,心灵DJ/骗子贾科伯/说谎者雅各布/希望集中营
穿制服的女孩,列昂蒂内·萨冈,ChristaWinsloe/FriedrichDammann,赫塔·提勒/多萝西·维克/EmiliaUnda/GertruddeLalsky/HedwigSchlichter/ErikaMann/ElseEhser/EllenSchwanneke/CharlotteWitthauer,剧情/爱情/同性,德国,德语,1931-11-27,88分钟/USA:87分钟,GirlsinUniform
大人别出声,彼得·博格丹诺维奇,MartyKaplan/迈克·弗雷恩,卡罗尔·博内特/迈克尔·凯恩/丹霍姆·艾略特/克里斯托弗·里夫,喜剧/爱情,美国,英语,1992-03-20,101分钟,落难戏班(港)/勾心斗角/乌龙戏班/糊涂戏班
龙樱：东大考试机密技巧总传授SP,,,阿部宽/长谷川京子/山下智久/长泽雅美/小池彻平/新垣结衣,,日本,日语,2005-10-14(日本),68分钟,
草房子,徐耿,曹文轩,曹丹/杜源/吴琴琴/金荣喜/许雁青/徐成峰/马翎雁,剧情,中国大陆,汉语普通话,1998/2000-08-17(香港),105分钟,Caofangzi/ThatchedMemories
梦想者四夜,罗伯特·布列松,罗伯特·布列松,IsabelleWeingarten/GuillaumedesForêts/Jean-MauriceMonnoyer,剧情/爱情,法国,法语,1971-06-29(西德),87分钟,一个梦想者的四个夜晚/一个男人的四个夜晚/白夜/FourNightsofaDreamer
灌篮高手 剧场版2,,井上雄彦,草尾毅/緑川光,剧情/动画/运动,日本,日语,1994-07-09(日本),45分钟,SLAMDUNK全国制覇だ!桜木花道
鬼火,路易·马勒,皮埃尔·德里厄·拉罗谢勒,莫里斯·罗内/莱娜·斯克尔拉/伊冯娜·克莱什/于贝尔·德尚/让-保罗·穆利诺/莫娜·多尔/皮埃尔·蒙科尔比耶/勒内·迪皮伊/贝尔纳·蒂费纳/贝尔纳·诺埃尔/乌尔苏拉·库布勒/让娜·莫罗/阿兰·莫泰/罗曼·布泰耶/雅克·塞雷/亚历山德拉·斯图尔特/亨利·赛尔/达琳·莱卓提姆斯,剧情,法国,法语,1963-10-15,108分钟,无法到达/TheFireWithin/ATimetoLiveandaTimetoDie
乞爱者,平山秀幸,郑义信/下田治美,原田美枝子/野波麻帆/小日向文世/熊谷真实/国村隼/西田尚美/氏木毅/茂吕师冈/中井贵一/浅川稚广/新村礼子/大泽茜,剧情,日本,日语,1998-09-26,135分钟,BeggingforLove/爱的祈祷/求爱的人
不可思议的收缩人,杰克·阿诺德,理查德·艾伦·西蒙斯/理查德·麦瑟森,格兰特·威廉姆斯/RandyStuart/AprilKent/保罗·兰顿/雷蒙德贝利/WilliamSchallert/FrankJ.Scannell/HeleneMarshall/DianaDarrin/BillyCurtis/LockMartin/JohnHiestand/LucePotter/JoeLaBarba/奥逊·威尔斯/RegisParton,科幻/惊悚,美国,英语,1957-02-22,81分钟,奇特缩形者
独生子,小津安二郎,小津安二郎/池田忠雄/荒田正男,饭田蝶子/叶山正雄/日守新一/笠智众/坪内美子/吉川满子/横山準/青木富夫,剧情,日本,日语,1936-09-15(日本),87分钟,Hitorimusuko/TheOnlySon
