电影,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,又名,IMDb链接
黑暗缪斯,豪梅·巴拉格罗,豪梅·巴拉格罗/费尔南多·纳瓦罗,艾略特·科万/弗朗卡·波滕特/安娜·乌拉鲁/蕾欧诺·瓦特林/曼努埃拉·贝列斯/琼妮·威利/克里斯托弗·洛伊德/斯特拉·麦克考斯克/张茵/吉伦･麦格林,惊悚/恐怖,西班牙/爱尔兰/比利时/法国,英语,2017-10-07(锡切斯电影节)/2017-11-10(西班牙),107分钟,阴诗咒(港)/Musa,tt5041296
黑盒子,SadracGonzález-Perellón,SadracGonzález-Perellón,LowenaMcDonell/JulianNicholson/HaydéeLysander/MarcPuiggener/DanielM.Jacobs/LucyTillett(voice),剧情/科幻/恐怖,西班牙,英语,2017-07-04(纳沙泰尔奇幻电影节),105分钟,爱丽丝的黑盒子(台)/黑空笼,tt5687424
安娜和世界末日,约翰·迈克菲尔,艾伦·迈克唐纳/莱恩·迈克亨利,艾拉·亨特/马尔科姆·卡明/莎拉·斯维尔/克里斯托弗·莱沃/玛里·休/本·威金斯/马克·本顿/保罗·凯耶/肖恩·康纳/约翰·温切斯特/艾拉·贾维斯/杰基·伯德,喜剧/恐怖/歌舞,美国/英国,英语,2017-09-22(奇幻电影节)/2018-11-29(澳大利亚),93分钟,安娜与末世,tt6433880
等待指示,JohnnyKevorkian,GavinWilliams,大卫·布拉德利/AbigailCruttenden/NeerjaNaik,科幻/悬疑/恐怖,英国,英语,2018-10-05(美国),91分钟,,tt4971408
今晚打丧尸,卢炜麟,余咏良,张继聪/白只/万梓良/吴家丽/王敏奕/颜卓灵,喜剧/恐怖,香港,粤语,2017-06-29(香港),105分钟,Zombiology:EnjoyYourselfTonight,tt6220406
小小陌生人,伦尼·阿伯拉罕森,露辛达·考克森/莎拉·沃特丝,多姆纳尔·格里森/露丝·威尔森/乔什·迪伦/夏洛特·兰普林/威尔·保尔特/达伦·肯特/凯特·菲利普斯/迪克西艾格瑞克斯/蒂姆·普莱斯特/洛娜·麦克法迪/克里斯·科克森/哈利·海顿-佩顿,剧情/悬疑/惊悚/恐怖,爱尔兰/英国/法国,英语,2018-08-31(美国),111分钟,,tt6859762
午夜人,朱利叶斯·拉姆齐,阿尔斯通·拉姆齐,艾丽克斯·埃索/佩拉·哈莉-贾德林/迪伦·麦蒂/瓦德·霍尔顿/安德鲁·罗森博格/约瑟夫·李·安德森/K·C·法尔达斯/威廉·布鲁姆菲尔德/戴维·斯帕多拉/马修·迈尔斯,恐怖,美国,英语,2017-06-19(洛杉矶电影节),94分钟,Revelers,tt5737582
快乐猎杀,"JoeDietsch,LouieGibson",LouieGibson/JoeDietsch,马丁·沃尔/KenLally/C.J.Baker/GarySturm/LieselHanson/JeremyLawson/FrederickLawrence/ConnorWilliams,恐怖,美国,英语,2017-09-22(美国),91分钟,欢迎来到猎杀小镇(台),tt5189770
小恶魔,艾利·克雷格,艾利·克雷格,伊万杰琳·莉莉/亚当·斯科特/莎莉·菲尔德/克兰西·布朗/凯尔·柏海莫/卡拉·盖洛/泰勒·莱伯恩/唐纳德·法森/布里奇特·埃弗里特/克里斯·德埃利亚/欧文·阿特拉斯/汉克·哈里斯/萨莎·威廉斯/克里斯托弗·米勒/布拉德·威廉姆斯,喜剧/恐怖,美国,英语,2017-09-01(美国),95分钟,,tt2937366
监控惊魂,SethFuller/ScottHussion,VictorZarcoff,安伯·明迪桑德/NevilleArchambault/切尔西·埃德蒙森/BrianneMoncrief/约翰-保罗·霍华德/汉克·罗杰森/洛拉·玛汀内斯-康宁安/泰特·弗莱彻/马修·佩奇,惊悚/恐怖,美国,英语,2018-07-27(美国),90分钟,十四个摄像头/ISeeYou,tt7476438
打车惊魂,BrianFrankVisciglia,KatSilvia/BrianFrankVisciglia/DustinFrost,DavidWachs/JessicaSerfaty/RonnieAlvarez,恐怖,美国,英语,2017-09-15(美国),85分钟,忧步(台),tt5339418
屠宰场准则,克利斯宾·米尔斯,克利斯宾·米尔斯/亨利·菲茨赫伯特/卢克·帕斯莫尔,阿萨·巴特菲尔德/芬恩·科尔/赫敏·科菲尔德/麦克·辛/西蒙·佩吉/尼克·弗罗斯特/杰米·布莱克利/加萨·阿鲁瓦利亚/汤姆·里斯哈里斯/乔·哈特利/伊莎贝拉·拉夫兰德/哈娜可福特曼/贝恩·科拉科/何梦琪/山姆·雷德兰/玛格特·罗比,喜剧/动作/恐怖,英国,英语,2018-10-31(英国),103分钟,屠宰场规则,tt6905696
萨布丽娜的惊心冒险：圣诞特别集,杰夫·伍尔诺,罗伯托·安古列·萨卡撒/唐娜·索兰,琪兰·席普卡/罗斯·林奇/露茜·戴维斯/钱斯·佩尔多莫/洁丝·辛克莱/米歇尔·戈麦兹/塔蒂·加布里埃/阿德莱恩·鲁道夫/理查德·柯伊尔/米兰达·奥图/阿比盖尔·F·考恩/杰迪代亚·古达克/麦肯娜·格瑞丝/布莱恩·马克金森/希瑟·多克森/阿德里安·霍夫/达伦·曼恩/克里斯托弗·罗莎蒙德/安妮特·赖利,剧情/恐怖/奇幻,美国,英语,2018-12-14(美国),60分钟,,tt9278078
零号病人,斯戴芬·卢佐维茨基,MikeLe,娜塔莉·多默尔/马特·史密斯/克莱夫·斯坦登/斯坦利·图齐/约翰·C·布莱德利/安娜斯塔西亚·哈罗德/阿格妮丝·迪恩/豪尔赫·莱昂·马丁内斯/皮帕·贝内特-华纳/詹姆斯·诺斯科特/柯林·麦克法兰/蒂利亚纳·布克丽瓦,动作/科幻/恐怖,英国,英语,2018-08-14(美国),93分钟,PatientZ,tt3458254
暗夜鬼抓床,DennisBartok,TomAbrams/DennisBartok,肖娜·麦克唐纳/LeahMcNamara/罗斯·诺贝尔,恐怖,爱尔兰,英语,2017-06-16(爱尔兰),85分钟,指甲人,tt4695098
切小金家的旅馆,林冠慧,林冠慧,张庭瑚/洪言翔/林鹤轩/郭书瑶/罗家英/朱咪咪,喜剧/恐怖,台湾,汉语普通话,2018-07-06(台湾),109分钟,切小金的旅馆/SecretsintheHotSpring,tt8587122
陌生人2,约翰内斯·罗伯茨,布莱恩·伯蒂诺/本·科泰,克里斯蒂娜·亨德里克斯/拜莉·麦迪逊/马丁·亨德森/艾玛·贝洛米/刘易斯·普尔曼/莉·恩斯林/达米安·马菲/丽雅·罗伯茨/普雷斯顿·萨德莱/加布里埃尔·A·拜恩/桑尼·迪克西特,恐怖,美国,英语,2018-03-09(美国),85分钟,只杀陌生人(港/台)/TheStrangers2,tt1285009
短柄斧4,亚当·格林,亚当·格林,派瑞·申/凯恩·霍德尔/LauraOrtiz/戴夫·谢里登/KrystalJoyBrown/费莉莎·罗斯/BrianQuinn/蒂凡妮·谢皮斯/蔡斯·威廉逊/KatieBooth/JonahRay/泰勒·梅恩/布雷克·沃道夫/丹妮尔·哈丽丝/亚当·格林/乔·林奇/托尼·托德,喜剧/恐怖,美国,英语,2017-09-12(德国),93分钟,维克托·克劳利/利斧狂魔(台),tt5534434
黑仙女,PrositRoy,PrositRoy/AbhishekBanerjee,安努舒卡·莎玛/帕拉姆巴拉塔·查特吉/拉贾特·卡普尔/RitabhariChakraborty/DibyenduBhattacharya,惊悚/恐怖,印度,印地语,2018-03-02(印度),137分钟,,tt7329858
邪恶宿舍夜惊魂,罗德里戈·科尔特斯,迈克尔·高德巴赫/克里斯·斯帕林/路易斯·邓肯,安娜索菲亚·罗伯/乌玛·瑟曼/伊莎贝拉·弗尔曼/维多利亚·莫洛勒斯/诺亚·西尔弗/泰勒·拉塞尔/罗希·戴/丽贝卡·弗朗特/乔迪·梅/皮普·托伦斯/克里斯蒂·米切尔/吉姆·斯图格恩/大卫·艾略特/布莱恩·博维尔/拉米罗·布拉斯/何塞·利努艾萨,剧情/恐怖/奇幻,美国,英语,2018-08-17(美国),96分钟,暗影学园(台)/漆黑的走廊尽头/黑暗走廊惊魂/沉入暗黑走廊,tt2372251
玛拉,CliveTonge,乔纳森·弗兰克,欧嘉·柯瑞兰寇/哈维尔·博泰特/兰斯·E·尼克尔斯/罗茜·费尔纳/梅丽莎·博洛纳/吉娅·斯科娃/MitchEakins/MackenzieImsand/DandyBarrett/CraigConway/KathyMcGraw/雅各布·格罗德尼克,惊悚/恐怖/犯罪,英国,英语,2018-08-22(菲律宾)/2018-09-07(美国)/2018-11-02(台湾),98分钟,夜驚(台湾),tt1773753
