,电影,类型,导演,主演
861,本杰明·巴顿奇事,剧情/爱情/奇幻,大卫·芬奇,凯特·布兰切特/布拉德·皮特/朱莉娅·奥蒙德/芳妮·A·钱勃丝/伊莱亚斯·科泰斯/杰森·弗莱明/大卫·詹森/蒂尔达·斯文顿/艾丽·范宁/乔安娜·塞勒/乔什·斯图沃特/丹尼·文森/塔拉吉·P·汉森/马赫沙拉·阿里/菲奥娜·黑尔/唐娜·杜普兰提尔/兰斯·E·尼克尔斯/特德·曼森/克莱·卡伦/菲利斯·萨莫维尔/杰瑞德·哈里斯/麦迪逊·贝蒂/汤姆·埃沃雷特/克里斯托弗·马克斯韦尔/伊利亚·沃里克
862,火星救援,剧情/科幻/冒险,雷德利·斯科特,马特·达蒙/杰西卡·查斯坦/克里斯汀·韦格/杰夫·丹尼尔斯/迈克尔·佩纳/凯特·玛拉/肖恩·宾/塞巴斯蒂安·斯坦/唐纳德·格洛弗/切瓦特·埃加福特/阿卡塞尔·亨涅/陈数/高雄/本尼迪克特·王/麦肯兹·戴维斯/娜奥米·斯科特/丽丽·博尔丹/布莱恩·卡斯佩
863,天空之城,动画/奇幻/冒险,宫崎骏,田中真弓/横泽启子/初井言荣/寺田农/常田富士男/永井一郎/糸博/鹫尾真知子/神山卓三/安原义人/槐柳二/鳕子
864,狮子王,剧情/动画/歌舞/家庭/冒险,罗杰·阿勒斯/罗伯·明可夫,乔纳森·泰勒·托马斯/马修·布罗德里克/杰瑞米·艾恩斯/詹姆斯·厄尔·琼斯/莫伊拉·凯利/内森·连恩/尼基塔·卡兰姆/厄尼·萨贝拉/乌比·戈德堡/罗温·艾金森
865,情书,剧情/爱情,岩井俊二,中山美穗/丰川悦司/酒井美纪/柏原崇/范文雀/篠原胜之/铃木庆一/田口智朗/加贺麻理子/光石研/铃木兰兰/盐见三省/中村久美/梅田凡乃/长田江身子/小栗香织/神户浩/酒井敏也/山口诗史/山崎一/德井优/武藤寿美
866,搏击俱乐部,剧情/动作/悬疑/惊悚,大卫·芬奇,爱德华·诺顿/布拉德·皮特/海伦娜·伯翰·卡特/扎克·格雷尼尔/米特·洛夫/杰瑞德·莱托/艾恩·贝利/里奇蒙德·阿奎特/乔治·马奎尔
867,秒速5厘米,剧情/爱情/动画,新海诚,水桥研二/近藤好美/花村怜美/尾上绫华/水野理纱/寺崎裕香/中村祐子/岩崎征实/内藤玲/下崎纮史/平野贵裕/中川玲/井关佳子/井上优/加古临王/中村梨香/须加美纪/鲑延未可/新鹿由美子/斋藤由香子
868,致命魔术,剧情/悬疑/惊悚,克里斯托弗·诺兰,休·杰克曼/克里斯蒂安·贝尔/迈克尔·凯恩/丽贝卡·豪尔/斯嘉丽·约翰逊/大卫·鲍伊/安迪·瑟金斯/派珀·佩拉博/萨曼塔·马霍林/丹尼尔·戴维斯/吉姆·皮多克/克里斯托弗·尼姆/马克·瑞安/罗杰·里斯/杰米·哈里斯/罗恩·帕金斯/瑞奇·杰/安东尼·德·马克/冀朝理
869,冰雪奇缘,喜剧/动画/歌舞/奇幻,克里斯·巴克/珍妮弗·李,克里斯汀·贝尔/伊迪娜·门泽尔/乔纳森·格罗夫/乔什·加德/圣蒂诺·方塔纳/艾伦·图代克/塞伦·希德/克里斯·威廉姆斯/斯蒂芬·安德森/玛雅·威尔逊/伊迪·迈克莱尔/罗伯特·派恩/莫里斯·拉马奇/珍妮弗·李/莉薇·施图本劳赫/伊娃·贝拉/斯宾塞·莱西·加纳斯/泰里·布朗/杰西·科尔蒂/杰夫·马库斯/塔克·吉莫尔/保罗·布里格斯
870,哈利·波特与死亡圣器(下),剧情/悬疑/奇幻/冒险,大卫·叶茨,丹尼尔·雷德克里夫/艾玛·沃森/鲁伯特·格林特/海伦娜·伯翰·卡特/拉尔夫·费因斯/艾伦·瑞克曼/玛吉·史密斯/汤姆·费尔顿/邦妮·怀特/朱丽·沃特斯/迈克尔·刚本/伊文娜·林奇/多姆纳尔·格里森/克蕾曼丝·波西/詹森·艾萨克/海伦·麦克洛瑞/马修·刘易斯/梁佩诗/约翰·赫特/大卫·休里斯/加里·奥德曼/吉姆·布劳德本特/艾玛·汤普森/娜塔丽·特纳/蒂莫西·斯波/大卫·布拉德利/罗彼·考特拉尼/凯莉·麦克唐纳/塞伦·希德
871,东邪西毒,剧情/动作/爱情/武侠/古装,王家卫,张国荣/林青霞/梁朝伟/张学友/张曼玉/刘嘉玲/梁家辉/杨采妮/邹兆龙
872,沉默的羔羊,剧情/惊悚/犯罪,乔纳森·戴米,朱迪·福斯特/安东尼·霍普金斯/斯科特·格伦/安东尼·希尔德/布鲁克·史密斯/卡斯·莱蒙斯/弗兰基·费森/泰德·拉文/崔西·沃特/丹·巴特勒/达拉
873,指环王1：魔戒再现,剧情/动作/奇幻/冒险,彼得·杰克逊,伊莱贾·伍德/西恩·奥斯汀/伊恩·麦克莱恩/维果·莫腾森/奥兰多·布鲁姆/凯特·布兰切特/肖恩·宾/克里斯托弗·李/雨果·维文/丽芙·泰勒/安迪·瑟金斯/伊安·霍姆/多米尼克·莫纳汉/萨拉·贝克/约翰·瑞斯-戴维斯
874,傲慢与偏见,剧情/爱情,乔·赖特,凯拉·奈特莉/马修·麦克费登/唐纳德·萨瑟兰/布兰达·布莱斯/凯瑞·穆里根/裴淳华/吉娜·马隆/妲露拉·莱莉/朱迪·丹奇/西蒙·伍兹/克劳迪·布莱克利/汤姆·霍兰德/鲁伯特·弗兰德/凯利·蕾莉/皮普·托伦斯/西妮德·马修斯/佩内洛普·威尔顿/塔姆金·莫钦特
875,黑天鹅,剧情/惊悚,达伦·阿伦诺夫斯基,娜塔莉·波特曼/米拉·库尼斯/文森特·卡索/芭芭拉·赫希/薇诺娜·瑞德/本杰明·米派德/克塞尼亚·索罗/克里斯汀娜·安娜波/詹妮特·蒙哥马利/塞巴斯蒂安·斯坦/托比·海明威/塞尔吉奥·托拉多/马克·马戈利斯/蒂娜·斯隆/亚伯拉罕·阿罗诺夫斯基/夏洛特·阿罗诺夫斯基/玛西娅·让·库尔茨/肖恩·奥哈根/克里斯托弗·加廷/黛博拉·奥夫纳/斯坦利·B·赫尔曼/库尔特·弗勒曼/帕特里克·赫辛格/莎拉·海伊
876,恐怖游轮,剧情/悬疑/惊悚,克里斯托弗·史密斯,梅利莎·乔治/利亚姆·海姆斯沃斯/迈克尔·多曼/瑞秋·卡帕尼/艾玛·朗/亨利·尼克松/约书亚·麦基弗
877,亲爱的,剧情/家庭,陈可辛,赵薇/黄渤/佟大为/郝蕾/张译/张雨绮/张国强/朱子墨/李一情/陈莹/余皑磊/黄建新
878,X战警：逆转未来,动作/科幻/冒险,布莱恩·辛格,休·杰克曼/詹姆斯·麦卡沃伊/迈克尔·法斯宾德/詹妮弗·劳伦斯/哈莉·贝瑞/尼古拉斯·霍尔特/埃文·彼得斯/伊恩·麦克莱恩/帕特里克·斯图尔特/艾伦·佩吉/安娜·帕奎因/彼特·丁拉基/肖恩·阿什莫/卢卡斯·提尔/丹尼尔·库德摩尔/波波·斯图尔特/奥玛·希/范冰冰/阿丹·坎托/乔什·赫尔曼
879,完美陌生人,剧情/喜剧,保罗·杰诺维塞,马可·贾利尼/卡夏·斯穆特尼亚克/爱德华多·莱奥/阿尔巴·罗尔瓦赫尔/瓦莱里奥·马斯坦德雷亚/安娜·福列塔/朱塞佩·巴蒂斯通
880,重庆森林,剧情/爱情,王家卫,林青霞/金城武/梁朝伟/王菲/周嘉玲
881,驯龙高手,动画/奇幻/冒险,迪恩·德布洛斯/克里斯·桑德斯,杰伊·巴鲁切尔/杰拉德·巴特勒/克雷格·费格森/亚美莉卡·费雷拉/乔纳·希尔/克里斯托夫·梅兹-普莱瑟/T·J·米勒/克里斯汀·韦格/罗宾·阿特金·唐斯/菲利普·麦格雷德/基隆·埃利奥特/阿什利·詹森/大卫·田纳特
882,窃听风暴,剧情/悬疑,弗洛里安·亨克尔·冯·多纳斯马尔克,乌尔里希·穆埃/马蒂娜·格德克/塞巴斯蒂安·科赫/乌尔里希·图库尔/托马斯·蒂梅/汉斯-尤韦·鲍尔/沃克马·克莱纳特/马提亚斯·布伦纳/查理·哈纳/赫伯特·克瑙普/巴斯蒂安·特罗斯特/玛丽·格鲁伯/维尔纳·德恩/马丁·布拉巴赫/托马斯·阿诺德/辛纳克·勋纳曼/路德韦格·布洛克伯格/迈克尔·格伯/吉塔·施维赫夫/希尔德加德·斯罗德/伊嘉·比肯费尔德/凯·伊沃·保利兹/克劳斯·芒斯特
883,致命ID,剧情/悬疑/惊悚,詹姆斯·曼高德,约翰·库萨克/雷·利奥塔/阿曼达·皮特/阿尔弗雷德·莫里纳/克里·杜瓦尔
884,国王的演讲,剧情/传记/历史,汤姆·霍珀,科林·费尔斯/杰弗里·拉什/海伦娜·伯翰·卡特/盖·皮尔斯/迈克尔·刚本/蒂莫西·斯波/詹妮弗·艾莉/德里克·雅各比/安东尼·安德鲁斯/克莱尔·布鲁姆
885,鬼子来了,剧情/历史/战争,姜文,姜文/香川照之/袁丁/姜宏波/丛志军/喜子/泽田谦也/李海滨/蔡卫东/陈述/陈莲梅/史建全/陈强/宫路佳具/吴大维/梶冈润一/石山雄大/述平/姜武
886,断背山,剧情/爱情/同性/家庭,李安,希斯·莱杰/杰克·吉伦哈尔/米歇尔·威廉姆斯/安妮·海瑟薇/凯特·玛拉/兰迪·奎德/琳达·卡德里尼/安娜·法瑞丝/格拉汉姆·贝克尔/斯科特·迈克尔·坎贝尔/大卫·哈伯/罗伯塔·马克斯韦尔/皮特·麦克罗比/夏恩·希尔/布鲁克琳·普劳克斯/杰克·丘奇
887,恐怖直播,剧情/悬疑/犯罪,金秉祐,河正宇/李璟荣/全慧珍/李大为
888,源代码,科幻/悬疑/惊悚,邓肯·琼斯,杰克·吉伦哈尔/维拉·法米加/米歇尔·莫纳汉/杰弗里·怀特/拉塞尔·皮特斯/詹姆斯·A·伍兹/迈克尔·阿登/乔·柯布登/卡斯·安瓦尔
889,英雄本色,剧情/动作/犯罪,吴宇森,周润发/狄龙/张国荣/朱宝意/李子雄/田丰/吴宇森/曾江/成奎安/徐克/陈志辉
890,辩护人,剧情,杨宇硕,宋康昊/吴达洙/金英爱/郭度沅/任时完
891,爱在日落黄昏时,剧情/爱情,理查德·林克莱特,伊桑·霍克/朱莉·德尔佩/弗农·多布切夫/路易丝·勒莫瓦纳·托雷斯/罗多尔·保利/玛丽安·普莱施泰格/Diabolo/丹尼·弗拉/艾伯特·德尔佩/玛丽·佩里
892,饮食男女,剧情/家庭,李安,郎雄/杨贵媚/吴倩莲/王渝文/张艾嘉/归亚蕾/赵文瑄/陈昭荣/陈捷文/卢金城/唐语谦/洪其德/王瑞/杜满生/王玨/陈妤/左正芬/许敬民/聂卓晶/丁仲
893,萤火之森,剧情/爱情/动画/奇幻,大森贵弘,佐仓绫音/内山昂辉/辻亲八/山本兼平/后藤弘树/今井麻美
894,无敌破坏王,喜剧/动画/奇幻/冒险,瑞奇·摩尔,约翰·C·赖利/萨拉·西尔弗曼/杰克·麦克布瑞尔/简·林奇/艾伦·图代克/敏迪·卡灵/乔·洛·特鲁格里奥/艾德·奥尼尔/丹尼斯·海斯伯特/伊迪·迈克莱尔/雷蒙德·S·佩尔西/杰斯·哈梅尔/瑞秋·哈里斯/斯盖拉·阿斯丁/亚当·卡罗拉/霍拉提奥·桑斯/莫里斯·拉马奇/斯戴芬妮·斯考特/约翰·迪·玛吉欧/瑞奇·摩尔/凯蒂·洛斯/贾米·埃曼/乔西·特立尼达/辛贝·沃克/塔克·吉莫尔/布兰登·斯考特/蒂姆·梅尔滕斯/凯文·迪特斯/杰洛·里佛斯/马丁·贾维斯/布莱恩·克辛格/罗杰·克莱格·史密斯/菲尔·约翰斯顿/鲁本·兰登/凯尔·赫伯特/洁米·斯贝勒·罗伯茨/尼克·格里姆肖
895,模仿游戏,剧情/同性/传记/战争,莫滕·泰杜姆,本尼迪克特·康伯巴奇/凯拉·奈特莉/马修·古迪/罗里·金奈尔/艾伦·里奇/马修·比尔德/查尔斯·丹斯/马克·斯特朗/詹姆斯·诺斯科特/汤姆·古德曼-希尔/史蒂芬·威丁顿/伊兰·古德曼/杰克·塔尔登/埃里克斯·劳瑟/杰克·巴农/塔彭丝·米德尔顿/安德鲁·哈维尔/维尔·博登/李·阿斯奎斯-柯/海莉·乔安妮·培根/安库塔·布雷班/格雷斯·卡尔德/理查德·坎贝尔/温斯顿·丘吉尔/克里斯·考林/汉娜·弗林/阿道夫·希特勒/卢克·霍普/斯图尔特·马修斯/亚当·诺威尔/哈里·S·杜鲁门
896,金陵十三钗,剧情/历史/战争,张艺谋,克里斯蒂安·贝尔/倪妮/张歆怡/黄天元/韩熙庭/张逗逗/佟大为/曹可凡/渡部笃郎/黄海波/窦骁/聂远/高虎/秦昊/李玥敏/白雪/袁杨纯子/孙佳/朱良奇/小林成男/山中崇/保罗·施耐德/李纯/顾璇/周梦乔/周羽/邓莉/苏小妹/钱柳吟/叶清源/戴瑶君/沈俊然/李楚楚/金子欣/李瑞琦/谷艺璇/许佳丽/张照怡/王靖雯/谭逸敏/赵伊聪/来喜/奇道/王超北/王羽铮/李飞/王聪/项斌/郭晓明/涩谷天马/梶冈润一
897,银翼杀手2049,剧情/科幻/惊悚,丹尼斯·维伦纽瓦,瑞恩·高斯林/哈里森·福特/安娜·德·阿玛斯/西尔维娅·侯克斯/罗宾·怀特/杰瑞德·莱托/戴夫·巴蒂斯塔/麦肯兹·戴维斯/卡拉·朱里/爱德华·詹姆斯·奥莫斯/巴克德·阿巴蒂/大卫·达斯马齐连/西娅姆·阿巴斯/连尼·詹姆斯/马克·阿诺德/肖恩·杨
898,告白,剧情/惊悚,中岛哲也,松隆子/冈田将生/木村佳乃/西井幸人/桥本爱/芦田爱菜/三吉彩花/藤原薰/井之胁海/清水尚弥/高桥努/一井直树/能年玲奈/新井浩文/野本萤
899,时空恋旅人,喜剧/爱情/奇幻,理查德·柯蒂斯,多姆纳尔·格里森/瑞秋·麦克亚当斯/比尔·奈伊/莉迪亚·威尔逊/琳赛·邓肯/理查德·科德里/约书亚·麦圭尔/汤姆·霍兰德/玛格特·罗比/维尔·梅里克/凡妮莎·柯比/汤姆·休斯/哈利·海顿-佩顿/米切尔·马伦/丽莎·艾科恩/珍妮·莱恩斯福德/菲利普-沃斯/凯瑟琳·斯戴曼/汤姆·斯托顿/安部春香/李·阿斯奎斯-柯/理查德·班克斯/保罗·布莱克维尔/贝恩·科拉科/格拉姆·柯里/罗薇娜·戴蒙德/约翰·达根/迪诺·法赞尼/内芙·加切夫/理查德·E·格兰特/理查德·格雷弗斯/李·尼古拉斯·哈里斯/理查德·赫德曼/李仙湖/马修·C·马蒂诺/马汀·麦格/AlexMoore
900,春光乍泄,剧情/爱情/同性,王家卫,张国荣/梁朝伟/张震
901,头脑特工队,喜剧/动画/冒险,彼特·道格特/罗纳尔多·德尔·卡门,艾米·波勒/菲利丝·史密斯/理查德·坎德/比尔·哈德尔/刘易斯·布莱克/敏迪·卡灵/凯特林·迪亚斯/戴安·琳恩/凯尔·麦克拉克伦/波拉·庞德斯通/鲍比·莫尼汉/宝拉·佩尔/大卫·戈尔兹/弗兰克·奥兹/乔什·库雷/弗利/约翰·拉岑贝格/卡洛斯·阿拉斯拉奇/皮特·萨加尔/拉什达·琼斯/罗里·艾伦/约翰·齐甘/雪莉·琳恩/拉瑞恩·纽曼/帕丽斯·冯·戴克
902,爱在黎明破晓前,剧情/爱情,理查德·林克莱特,伊桑·霍克/朱莉·德尔佩/安德莉亚·埃克特/汉诺·波西尔/KarlBruckschwaiger/TexRubinowitz/埃尔尼·曼戈尔德/DominikCastell/HaymonMariaButtinger/HaraldWaiglein/汉斯·魏因加特纳/PeterIlyHuemer/HubertFabianKulterer/约翰·斯洛斯/ChristianAnkowitsch/亚当·戈德堡/PaulPoet
903,海边的曼彻斯特,剧情/家庭,肯尼思·洛纳根,卡西·阿弗莱克/卢卡斯·赫奇斯/米歇尔·威廉姆斯/C·J·威尔逊/凯尔·钱德勒/卡拉·海沃德/格瑞辰·摩尔/泰特·多诺万/埃里卡·麦克德莫特/希瑟·伯恩斯/蜜西·雅格/斯蒂芬·亨德森/本·汉森/玛丽·梅伦/安东尼·埃斯特拉/苏珊·波尔法/罗伯特·塞拉/卡罗琳·皮克曼/约什·汉密尔顿/肖恩·菲茨吉本/肯尼思·洛纳根/安娜·巴瑞辛尼科夫/利亚姆·麦克尼尔/马修·布罗德里克/Kt·巴达萨罗/威廉·博恩凯塞尔/弗兰克·达戈斯蒂诺/托马斯·马里亚诺
904,射雕英雄传之东成西就,喜剧/奇幻/武侠/古装,刘镇伟,梁朝伟/林青霞/张国荣/叶玉卿/张学友/王祖贤/张曼玉/梁家辉/刘嘉玲/钟镇涛/鲍起静
905,彗星来的那一夜,科幻/悬疑/惊悚,詹姆斯·沃德·布柯特,艾米丽·芭尔多尼/莫瑞·史特林/尼古拉斯·布兰登/劳伦·斯卡法莉娅/伊丽莎白·格瑞斯/雨果·阿姆斯特朗/亚历克斯·马努吉安/劳伦·马赫
906,穿条纹睡衣的男孩,剧情/战争,马克·赫尔曼,阿萨·巴特菲尔德/维拉·法米加/卡拉·霍根/祖萨·霍尔/安贝尔·比蒂/拉斯洛·阿隆/大卫·休里斯/理查德·约翰逊/谢拉·汉考克/伊凡·弗雷贝利/贝拉·费斯彼姆/阿提拉·埃杰德/鲁伯特·弗兰德/大卫·海曼/吉姆·诺顿/杰克·塞隆/米哈利·绍鲍多什/泽索特·萨法尔·科夫卡/奥索利亚·茱莉娅·帕普
907,阳光姐妹淘,剧情/喜剧,姜炯哲,沈恩京/闵孝琳/姜素拉/南宝拉/陈熙京/金时厚/柳好贞/朴真珠/金甫美/千禹熙/李璟荣
908,恋恋笔记本,剧情/爱情,尼克·卡萨维茨,瑞恩·高斯林/瑞秋·麦克亚当斯/吉娜·罗兰兹/詹姆斯·加纳/斯塔尔勒塔·杜波利斯/凯文·康诺利/希瑟·沃奎斯特/杰弗里·奈特/琼·艾伦/詹姆斯·麦斯登
909,音乐之声,剧情/爱情/歌舞/传记,罗伯特·怀斯,朱莉·安德鲁斯/克里斯托弗·普卢默/埃琳诺·帕克/理查德·海顿/佩吉·伍德/查尔敏·卡尔/希瑟·孟席斯-尤里克/尼古拉斯·哈蒙德/杜安·蔡斯/安吉拉·卡特怀特/黛比·特纳/基姆·卡拉思/安娜·李/波希娅·纳尔逊/本·怀特/丹尼尔·特鲁希特/诺玛·威登/吉尔克里斯特·斯图尔特/马妮·尼克松/埃瓦德妮·贝克/多丽丝·劳埃德/格特鲁德·阿斯特/弗兰克·贝克/SteveCarruthers/山姆·哈里斯/DorothyJeakins/LeodaRichards/杰弗里·塞尔/BernardSell/NormanStevans/BertStevens/MariavonTrapp
910,岁月神偷,剧情/家庭,罗启锐,吴君如/任达华/钟绍图/李治廷/蔡颖恩/秦沛/夏萍/谷德昭/许鞍华/张同祖/庄域飞/威廉希路/李健兴/林耀祺/廖爱玲/张翼东/钱耀荣/谭瓒强/陈庆航/黎祥荣
911,哈利·波特与密室,奇幻/冒险,克里斯·哥伦布,丹尼尔·雷德克里夫/艾玛·沃森/鲁伯特·格林特/汤姆·费尔顿/理查德·格雷弗斯/费奥纳·肖/托比·琼斯/朱丽·沃特斯/邦妮·怀特/詹森·艾萨克/肯尼思·布拉纳/艾伦·瑞克曼/理查德·哈里斯/玛吉·史密斯/约翰·克立斯/肖恩·比格斯代夫/克里斯·兰金/克里斯蒂安·库尔森
912,垫底辣妹,剧情/家庭,土井裕泰,有村架纯/伊藤淳史/吉田羊/田中哲司/野村周平/安田显/阿部菜渚美/中村靖日/矢岛健一/峰村理惠
913,疯狂的麦克斯4：狂暴之路,动作/科幻/冒险,乔治·米勒,汤姆·哈迪/查理兹·塞隆/尼古拉斯·霍尔特/休·基斯-拜恩/乔什·赫尔曼/内森·琼斯/佐伊·克罗维兹/罗茜·汉丁顿-惠特莉/丽莉·克亚芙/阿比·丽/考特尼·伊顿/安格斯·桑普森/理查德·卡特/梅根·盖尔/肖恩·哈普
914,后天,动作/科幻/冒险/灾难,罗兰·艾默里奇,丹尼斯·奎德/杰克·吉伦哈尔/埃米·罗森/达什·米霍克/杰伊·桑德斯/雪拉·渥德/奥斯汀·尼可斯/阿尔杰·史密斯/富田谭玲/萨沙·罗伊茨/伊安·霍姆/肯尼斯·威尔什/罗宾·威尔科克/贾森·布利克/肯尼思·莫斯科/蒂姆·滨口/格伦·普拉默/艾德里安·莱斯特/理查德·麦克米伦/内斯特·塞拉诺/克里斯·布里顿/瓦拉斯塔·瓦拉纳/保利娜·利特尔/艾伦·福西特/霍华德·比莱尔曼/约翰·麦克拉伦/理查德·泽曼/佩里·金/弗兰克·方丹/米米·库兹克/维塔利·马卡罗夫/袁罗素/蒂姆·巴格莱/查克·沙曼塔/菲利普·贾勒特/艾安娜·奥申/托尼·卡拉布雷塔/薇安·温特/希拉·麦卡锡/汤姆·鲁尼/艾米·斯洛安/玛丽洛·贝吕古/凯伦·格莱夫/克里斯蒂安·特西尔/乔·柯布登/卡罗琳·基南/阿隆·鲁斯汀/萨姆·伍兹/杰克·劳弗/吕克·莱图尔诺/安妮·戴-琼斯/埃马纽埃尔·奥斯-德马雷/特里·辛普森/何塞·拉蒙·罗萨里奥
915,记忆碎片,剧情/悬疑/惊悚/犯罪,克里斯托弗·诺兰,盖·皮尔斯/凯瑞-安·莫斯/乔·潘托里亚诺/小马克·布恩/拉什·费加/乔雅·福克斯/斯蒂芬·托布罗斯基/哈里特·桑塞姆·哈里斯/托马斯·列农/考乐姆·吉斯·雷尼/金伯利·坎贝尔/玛丽安妮·穆勒雷尔/拉里·霍尔登
916,神偷奶爸2,喜剧/动画/冒险,皮埃尔·柯芬/克里斯·雷纳德,史蒂夫·卡瑞尔/克里斯汀·韦格/本杰明·布拉特/米兰达·卡斯格拉夫/拉塞尔·布兰德/郑肯/史蒂夫·库根/艾尔西·费舍尔/达纳·盖尔/莫伊塞斯·阿里亚斯/纳西姆·帕杜雷德/克里斯汀·沙尔/皮埃尔·柯芬/克里斯·雷纳德/尼科莱·斯托伊洛夫/瓦妮莎·贝尔/艾娃·阿卡雷斯/罗里·艾伦/杰克·安杰尔/伊娃·贝拉/约翰·齐甘/黛比·戴瑞巴里/杰斯·哈梅尔/丹尼·曼恩/莫娜·马歇尔/米凯·麦高万/AlecMedlock/拉瑞恩·纽曼/扬·拉布森/安德烈·鲁滨孙/吉姆·瓦德/艾普尔·温切尔/BaileyGambertoglio/雪莉·琳恩
917,菊次郎的夏天,剧情/喜剧,北野武,北野武/关口雄介/岸本加世子/グレート義太夫/井手博士/磨赤儿/大家由祐子/细川典江/今村鼠/田中要次
918,小森林 夏秋篇,剧情,森淳一,桥本爱/三浦贵大/松冈茉优/温水洋一/桐岛加恋
919,猩球崛起,剧情/动作/科幻,鲁伯特·瓦耶特,詹姆斯·弗兰科/安迪·瑟金斯/汤姆·费尔顿/芙蕾达·平托/布莱恩·考克斯/泰勒·莱伯恩/约翰·利思戈/卡琳·考诺娃/泰瑞·诺塔里/理查德·赖丁斯/克里斯托弗·戈登/德文·达尔顿/杰·卡普托/大卫·奥伊罗/杰米·哈里斯
