,电影,类型,导演,主演
79,遇见你真好,剧情/喜剧/爱情,顾长卫,白客/蓝盈莹/张海宇/周楚濋/曹骏/王玉雯/蒋易/李晨晖/范明/蒋雯丽
80,老兽,剧情,周子阳,涂们/王超北/伊丹纳/王铭硕/苏枫/阿拉腾乌拉/王子子/孙加琴/黄伟
81,密战,剧情/动作/战争,钟少雄,郭富城/赵丽颖/张翰/任达华/张蓝心/朱一龙/于晓光/刘玥心/奚美娟/寇振海/由立平/安亚平/孙耀威/曹操/李滨/涂黎曼/艾如
82,京城81号2,剧情/悬疑/惊悚,钱人豪,张智霖/梅婷/钟欣潼/耿乐/邬君梅/王水林/陈冲/高捷/林雪/连凯/万国鹏/迈克·安吉洛
83,熊出没·变形记,喜剧/动画/冒险,丁亮/林汇达,张伟/张秉君/谭笑
84,李雷和韩梅梅,剧情/喜剧/爱情,杨永春,张子枫/张逸杰/成梓宁/李砚/常铖/王旭东/张诚航/苗皓钧/花希/马泽涵/应亦涵/朱子岩/李扬/郝平/王菁华/塞拉斯·列维·纽豪斯
85,脱单告急,喜剧/爱情,柯孟融,董子健/钟楚曦/春夏/袁福福/靳锦/尹雨航/吴昱瑶/刘梦梦/郗婧妍
86,我是江小白 剧场版,爱情/动画,金承仁,陈张太康/佟心竹/李兰陵/沈念如/阎么么/刘明月/瞳音/黎筱濛/常荣珊/闫夜桥/叶知秋/小连杀
87,捍卫者,剧情/历史/战争,廖希/韩平/张巳阳,白恩/吕星辰/赫子铭/王璐/宋撼寰/杨俊生/小林成男/冯家妹/郄路通/陈俊杰/美浓轮泰史/刘骏焘
88,海滩的一天,剧情/爱情,杨德昌,张艾嘉/胡因梦/徐明/毛学维/左鸣翔/颜凤娇/吴少刚/梅芳/林瑞阳/南俊/小戽斗/于守仁/孙明珠/李淑桢/罗文诚/黄玉华/李梦麟/珍妮弗·奥尼尔/侯孝贤/陈坤厚/柯一正/陶德辰/万仁/曾壮祥/小野/许淑贞/段钟沂/吴念真Nien-JenWu/李烈
89,红衣小女孩2,惊悚/恐怖,程伟豪,杨丞琳/许玮甯/高慧君/龙劭华/黄河/吴念轩/詹宛儒/林裔臻/林芷瑈/黄镫辉/刘引商
90,秘果,爱情,连奕琦,陈飞宇/欧阳娜娜/邹元清/张诚航/欧豪/米咪/咏梅/曹卫宇/张瑶
91,陈翔六点半之铁头无敌,剧情/喜剧/动作,陈翔,应宝林/闰土/毛台/蘑菇头/吴妈/猪小明
92,过昭关,剧情/家庭/儿童,霍猛,杨太义/李云虎/万众/聂栋才
93,麻烦家族,喜剧/家庭,黄磊,黄磊/海清/王迅/李立群/孙莉/魏大勋/张伟欣/任容萱/何炅/岳云鹏/孟非/闫妮/英达
94,美好的意外,喜剧/奇幻,何蔚庭,桂纶镁/王景春/欧阳娜娜/王元也/陈坤/谢盈萱/郑开元
95,这就是命,喜剧/犯罪,王丹,王迅/曾志伟/梁超/潘斌龙/于莎莎/赵英俊/卢惠光/金圣柱/黄小蕾/关喆
96,罪途1之死亡列车,剧情/悬疑/犯罪,马小刚,韩朴俊/朱颜曼滋/李心敏/何索/韩秋池/红花/尹航/刘鹏/荆民强/穆梦娇/吴雨珏
97,荡寇风云,动作/传记/历史/战争/古装,陈嘉上,赵文卓/洪金宝/万茜/小出惠介/仓田保昭/唐文龙/刘俊孝/吴樾/木幡龙/王斑/洪天明/蒋璐霞/王菁/王沐霖/舒耀瑄/孙蛟龙
98,北方一片苍茫,剧情,蔡成杰,田天/韩建玲/赵树林/李桂苓/郭丰赫/温新宇/王富有/付柄丽/冯淑燕
99,推理笔记,剧情/悬疑,张天辉,陈都灵/林柏宏/汪铎/郝劭文/金士杰/王刚
100,罪途3之正义规则,剧情/悬疑/犯罪,马小刚,韩朴俊/朱颜曼滋/何索/李心敏/韩秋池/尹航/刘鹏/红花/荆民强/穆梦娇
101,爸，我一定行的,剧情/喜剧/家庭,蓝鸿春,郑润奇/郑鹏生/张咏娴/李树浩/林俊鑫/陈锦标/周素琴/郑辉松/张翼就/陈昱曦/苏细珍
102,淡蓝琥珀,剧情/悬疑,周劼,王真儿/吕聿来/耿乐/张瑶/王彩平
103,龙之战,动作/历史/战争,高峰,刘佩琦/曹云金/罗昱焜/李子雄
104,罪途2之救赎代价,剧情/悬疑/犯罪,马小刚,韩朴俊/朱颜曼滋/何索/李心敏/韩秋池/尹航/刘鹏/荆民强/红花/穆梦娇/吴雨珏
105,星游记之风暴法米拉,动作/动画/奇幻/冒险,胡一泊,陶典/小连杀/山新/宝木中阳/边江/图特哈蒙/曹云图/笑谈/杨天翔/郭盛/阎萌萌/幽舞越山/佟心竹/皇贞季/藤新/邢凯新/张圣/姜广涛
106,黑白迷宫,剧情/动作/犯罪,阚家伟,任达华/陈小春/伍允龙/邱意浓/张兆辉/林雪/李子雄/桂晶晶
107,十八洞村,剧情,苗月,王学圻/白威/陈西贝/陈瑾/墨阳
108,古剑奇谭之流月昭明,动作/奇幻/古装,雷尼·哈林,王力宏/宋茜/高以翔/高圣远/吴千语/张智霖/柳岩/李媛/伍嘉成/那威/纪焕博
109,黄飞鸿之南北英雄,动作/武侠,林珍钊,赵文卓/唐文龙/韦娜/李璐兵/陈辰/李炳渊/魏小欢/许政国
110,非同凡响,剧情,欧文杰,余香凝/岑珈其/叶童/谷祖琳/张国强/廖子妤/欧锦棠/钟景辉/张蔓姿/陈丽云/郭伟亮/蒋祖曼/傅月美/梁健平/林嘉华/刘玉翠/陈桂芬/岑乐怡/陈曾宁/游学修/易健儿/谢珈朗/徐浩昌/何故
111,奇葩朵朵,喜剧/爱情,李欣/李洋,张若昀/马思纯/李现/刘敏涛/姜超/李霄云/陈芋米/安笑歌/吴宥萱
112,一江春水向东流,剧情,蔡楚生/郑君里,白杨/陶金/舒绣文/上官云珠/吴茵
113,天方异谈,剧情/悬疑/奇幻,周浩晖,葛布/刘浩/王初伊/黄垲翔
114,荒城纪,剧情/喜剧,徐啸力,李畅/郝星棋/斯琴高娃/褚栓忠/王建国/阎青妤/高军/韩三明
115,独家记忆番外之相信爱,爱情,刘畅,孙嘉灵/李九霄/张超/李婷婷/陈博豪/张樟/邓郁立
116,再见十八班,剧情,禹岚馨,柯焱曦/熊婧文/秦海
117,睡沙发的人,剧情/喜剧/家庭,龙飞,刘霖/邱玲/袁忠远/董云飞/万文隽
118,人面鱼：红衣小女孩外传,恐怖,庄绚维,郑人硕/徐若瑄/吴至璿/张书伟/龙劭华/高慧君/陈少卉/辛佳颖
119,新大头儿子和小头爸爸3：俄罗斯奇遇记,动画/家庭/儿童/冒险,何澄,刘纯燕/董浩/鞠萍/陈苏/耿晨晨/周志强/黄炜
120,阿浪的远方,喜剧,宋媚,周子龙
121,猫与桃花源,动画/家庭/冒险,王微,李宇峰/杨砚铎/周华健/张喆/陈霖生
122,我是马布里,剧情/运动,杨子,斯蒂芬·马布里/吴尊/何冰/郑秀妍/王庆祥/巴朗·戴维斯/洛雷塔·迪瓦恩/弗兰基·费森/余皑磊/锦荣/高以翔/王阳明/阿伦·艾弗森/高云翔
123,栋笃特工,喜剧,张家杰,黄子华/佘诗曼/狼森/郑丹瑞/谭咏麟/郑中基/郑秀文/苏丽珊/张建声/蔡少芬/张国强/邓月平/林雪/郑诗君/吴君如/邓兆尊/苑琼丹/詹瑞文/张继聪/杨千嬅
124,小镇车神之五菱漂移,,王冠迪,柯达/蒋毓玮/庞勇/曹天恺
125,幸福路上,动画,宋欣颖,桂纶镁/魏德圣/陈博正/廖慧珍
126,为你写诗,喜剧/爱情/奇幻,吴克群,吴克群/周依然/周键铭/苏士为/仇佩佩/刘晨霞/颜如晶/张本煜/潘粤明/林美秀
127,粽邪,剧情/惊悚/恐怖,廖士涵,夏于乔/邹承恩/陈博正
128,豆福传,动画,邹燚,陈佩斯/李立群/季冠霖/付博文
129,美容针,喜剧/爱情,黄美娜,闫妮/杜天皓/宋伊人/赵毅新/张亦驰/宗晓军
130,血战湘江,历史/战争,陈力,王霙/徐箭/董勇/孙维民/保剑锋/耿乐/张一山/王大治/侯天来/刘之冰/马晓伟/陈创/袁满/江南/王韦智/陶灏景
131,独家记忆番外之再见爱,爱情,刘畅,张樟/邓郁立/方文强/叶子诚/李欢/张超/李婷婷/陈博豪/孙嘉灵/李九霄/龚锐
132,阿唐奇遇,动画/奇幻/冒险,王微,石磊/原泽宇/季冠霖/洪晃/米粒/芒莱/张磊/赵岭/严燕生/仁杰/任亚明/赵霁
133,西谎极落之太爆太子太空舱,喜剧,吴汉邦/吴兆麟,周柏豪/张继聪/蔡瀚亿/林敏骢/林盛斌/雨侨/连诗雅/陈诗慧/庄思敏/周祉君/杜小乔/宋本中/徐浩昌/吴志雄/卢宛茵/郑丹瑞/卢觅雪/赵善恒/张学润
134,解码游戏,喜剧/动作/犯罪,李海龙,韩庚/凤小岳/李媛/山下智久/廖启智/迈克尔·帕帕约翰
135,给19岁的我自己,剧情/爱情,黄朝亮,林柏宏/石安妮/王芊/何明翰/苑琼丹/兰昊宇/刘金
136,二次初恋,喜剧/爱情/奇幻,戴玮,朱茵/杜天皓/黄征/王志飞/王嘉宁/夏志远/邰智源/陈牧耶
137,黑暗迷宫,悬疑/犯罪,温河,聂远/葛天/杜奕衡/初俊辰/栾元晖/余薇薇/卢卓/程爽/陈震/戚蓝尹/郭家诺/常诚
138,独家记忆番外之勇敢爱,爱情,刘畅,张超/李婷婷/陈博豪/孙嘉灵/李九霄/张樟/邓郁立
139,第55届金马奖颁奖典礼‎,真人秀,,陶晶莹/李安/巩俐/谢盈萱/周迅/赵涛/曾美慧孜/孙俪/徐峥/邓超/段奕宏/邱泽/彭昱畅/胡歌/惠英红/涂们/桂纶镁/刘德华/刘嘉玲/张震/洪金宝/谢金燕/陈奕迅/苑琼丹/罗家英/黄信尧/莫文蔚/王力宏
140,逆流大叔,剧情,陈咏燊,吴镇宇/潘灿良/黄德斌/胡子彤/胡定欣/骆振伟/余香凝/庄思敏/岑珈其/黄天颐/柳俊江/梁天尺/龙文康/李赏/吴凤鸣
141,黄子华栋笃笑之金盘𠺘口,喜剧,黄子华,黄子华
142,缉妖法海传,剧情/动作,胡国瀚,黄蓉/白宇/姜震昊/霹雳爷们儿/乔曦/吴宥萱/张子骞/童伟
143,那年1987,剧情/爱情,余斌,吴永淦/张月
144,六人晚餐,剧情/爱情,李远,窦骁/张钧甯/邬君梅/吴刚/赵立新/俞灏明/尹馨梓/姜尘/崔文璐/陈欢/胡晴云/陈威旭/郝宣凯/李雨诺
145,海上浮城,剧情,阎羽茜,邬君梅/杨皓宇/李梦/李淳/蔡纲/大卫·里达尔/莎姬·贝兹
146,齐天大圣·万妖之城,奇幻/冒险/古装,项秋良/项河生,陈浩民/林子聪/范梦/赵东昊/王洪千/李佳颖/骆应钧/李平安
147,让我怎么相信你,剧情/喜剧,梁青儿/梁小凉,梁天/安乙荞/文松/闫妮/关婷娜/叶萌/谢梦华
148,范保德,剧情,萧雅全,黄仲昆/庄凯勋/傅孟柏/王秀峰/吕雪凤/温贞菱
149,差等生乔曦,剧情/喜剧,李克龙,林昕宜/李立北/来喜/白凯南/黑妹/廖蔚蔚/杨丽晓/那威/张婉儿/李潇/张垚/房琪
