电影,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,又名,IMDb链接,官方小站
美丽心灵,朗·霍华德,阿齐瓦·高斯曼/西尔维娅·纳萨尔,罗素·克劳/艾德·哈里斯/詹妮弗·康纳利/克里斯托弗·普卢默/保罗·贝坦尼/亚当·戈德堡/乔什·卢卡斯/安东尼·拉普/贾森·加里-斯坦福德/贾德·赫希/奥斯汀·潘德尔顿/薇薇·卡登尼/吉莉·西蒙/维克多·斯坦巴赫/坦娅·克拉克/罗伊·辛尼斯/谢丽尔·霍华德/兰斯·霍华德/简·詹金斯/乔什·帕斯/瓦伦蒂娜·卡迪纳利/蒂格尔·F·伯格里/迈克尔·埃斯佩尔/艾米·瓦尔兹/小艾德.朱普/卡拉·奥奇格罗索/斯特里奥·萨万特/迈克尔·阿伯特/雷吉·奥斯汀/凯德·比特纳/理查·布莱恩特/丹·陈/乔纳·福尔肯/法布里奇奥·范特/斯科特·费恩斯特罗姆/迈克尔·菲奥里/塞斯·盖贝尔/埃文·哈特/杰森·霍顿/布莱丝·达拉斯·霍华德/朗·霍华德/多里·曼佐尔/罗伯特·迈尔斯/里德·彭尼/米尔斯·彼埃尔/肖恩·里德,剧情/传记,美国,英语,2001-12-13(加州首映)/2002-01-04(美国),135分钟,有你终生美丽(港)/美丽境界(台)/完美大脑,tt0268978,
黑客帝国,莉莉·沃卓斯基/拉娜·沃卓斯基,莉莉·沃卓斯基/拉娜·沃卓斯基,基努·里维斯/凯瑞-安·莫斯/劳伦斯·菲什伯恩/雨果·维文/格洛丽亚·福斯特/乔·潘托里亚诺/马库斯·钟/朱利安·阿拉汗加/马特·多兰,动作/科幻,美国/澳大利亚,英语,1999-03-31(美国),136分钟,廿二世纪杀人网络(港)/骇客任务(台),tt0133093,
喜剧之王,周星驰/李力持,曾瑾昌/周星驰/李敏/郑文辉/冯勉恒/梁嘉杰,周星驰/张柏芝/莫文蔚/吴孟达/林子善/田启文/李兆基/成龙/李思捷/郑文辉,剧情/喜剧/爱情,香港,粤语,1999-02-13(香港),85分钟/89分钟(DVD),KingofComedy,tt0188766,
请以你的名字呼唤我,卢卡·瓜达尼诺,詹姆斯·伊沃里/安德列·艾席蒙,艾米·汉莫/蒂莫西·柴勒梅德/迈克尔·斯图巴/阿蜜拉·卡萨/艾斯特·加瑞尔/维克托瓦尔·杜·波依斯/旺妲·卡布里奥罗/安东尼奥·里莫尔迪/埃琳娜·布奇/马可·斯格罗索/安德列·艾席蒙/彼得·斯皮尔斯,剧情/爱情/同性,意大利/法国/巴西/美国/荷兰/德国,英语/意大利语/法语/德语/希伯来语,2017-01-22(圣丹斯电影节)/2017-11-24(美国),132分钟,以你的名字呼唤我(港/台)/以你的名义呼唤我/唤吾汝名/CMBYN/Chiamamicoltuonome,tt5726616,
窃听风暴,弗洛里安·亨克尔·冯·多纳斯马尔克,弗洛里安·亨克尔·冯·多纳斯马尔克,乌尔里希·穆埃/马蒂娜·格德克/塞巴斯蒂安·科赫/乌尔里希·图库尔/托马斯·蒂梅/汉斯-尤韦·鲍尔/沃克马·克莱纳特/马提亚斯·布伦纳/查理·哈纳/赫伯特·克瑙普/巴斯蒂安·特罗斯特/玛丽·格鲁伯/维尔纳·德恩/马丁·布拉巴赫/托马斯·阿诺德/辛纳克·勋纳曼/路德韦格·布洛克伯格/迈克尔·格伯/吉塔·施维赫夫/希尔德加德·斯罗德/伊嘉·比肯费尔德/凯·伊沃·保利兹/克劳斯·芒斯特,剧情/悬疑,德国,德语,2006-03-23(德国),137分钟,窃听者(港)/他人的生活/别人的生活/别样人生/TheLivesofOthers,tt0405094,
狮子王,罗杰·阿勒斯/罗伯·明可夫,艾琳·梅琪/乔纳森·罗伯特/琳达·伍尔芙顿,乔纳森·泰勒·托马斯/马修·布罗德里克/杰瑞米·艾恩斯/詹姆斯·厄尔·琼斯/莫伊拉·凯利/内森·连恩/尼基塔·卡兰姆/厄尼·萨贝拉/乌比·戈德堡/罗温·艾金森,剧情/动画/歌舞/家庭/冒险,美国,英语/斯瓦希里语/科萨语/祖鲁语,1995-07-15(中国大陆)/1994-06-15(美国)/2011-09-16(美国),89分钟,狮子王3D,tt0110357,
西西里的美丽传说,朱塞佩·托纳多雷,朱塞佩·托纳多雷/卢恰诺·温琴佐尼,莫妮卡·贝鲁奇/朱塞佩·苏尔法罗/LucianoFederico/玛蒂尔德·皮亚纳/PietroNotarianni/GaetanoAronica/GilbertoIdonea/AngeloPellegrino/GabriellaDiLuzio/PippoProvvidenti/埃丽萨·莫鲁奇/奥罗拉·夸特罗基/露琪亚·萨多/VanniBramati/SalvatoreMartino/安东内洛·普利西/NoamMorgensztern,剧情/情色/战争,意大利/美国,意大利语/英语/拉丁语/古希腊语,2000-10-27(意大利),109分钟/USA:92分钟(heavilycut)/Turkey:84分钟(TVversion),真爱伴我行(台)/玛莲娜/玛琳娜,tt0213847,
辩护人,杨宇硕,杨宇硕/尹贤浩,宋康昊/吴达洙/金英爱/郭度沅/任时完,剧情,韩国,韩语,2013-12-18(韩国),127分钟,逆权大状(港)/正义辩护人(台)/TheAttorney,tt3404140,
指环王3：王者无敌,彼得·杰克逊,弗兰·威尔士/菲利帕·鲍恩斯/彼得·杰克逊/J·R·R·托尔金,维果·莫腾森/伊莱贾·伍德/西恩·奥斯汀/丽芙·泰勒/伊恩·麦克莱恩/奥兰多·布鲁姆/凯特·布兰切特/米兰达·奥图/安迪·瑟金斯/雨果·维文/多米尼克·莫纳汉/比利·博伊德/马尔顿·索克斯/卡尔·厄本/克里斯托弗·李/约翰·瑞斯-戴维斯,剧情/动作/奇幻/冒险,美国/新西兰,英语/昆雅语/古英语/辛达林语,2004-03-12(中国大陆)/2003-12-17(美国),201分钟/254分钟(加长版)/263分钟(蓝光加长版),魔戒三部曲：王者再临(台/港)/指环王III：王者无敌/魔戒3：王者归来/指环王3：国王归来/指环王3：皇上回宫(豆友译名),tt0167260,
教父2,弗朗西斯·福特·科波拉,弗朗西斯·福特·科波拉/马里奥·普佐,阿尔·帕西诺/罗伯特·杜瓦尔/黛安·基顿/罗伯特·德尼罗/约翰·凯泽尔/塔莉娅·夏尔/李·斯特拉斯伯格/迈克尔·V·格佐/G·D·斯普拉德林/理查德·布赖特/加斯通·莫辛/汤姆·罗斯奎/布鲁诺·柯比/弗兰克·西维罗/弗朗西丝卡·德·萨维奥,剧情/犯罪,美国,英语/意大利语/西班牙语/拉丁语/西西里语,1974-12-12(纽约首映)/1974-12-20(美国),202分钟,教父续集/教父II,tt0071562,
加勒比海盗,戈尔·维宾斯基,泰德·艾略特/特里·鲁西奥/斯图尔特·贝亚蒂耶/杰·沃尔伯特,约翰尼·德普/杰弗里·拉什/奥兰多·布鲁姆/凯拉·奈特莉/杰克·达文波特/乔纳森·普雷斯,动作/奇幻/冒险,美国,英语,2003-11-21(中国大陆)/2003-07-09(美国),143分钟,加勒比海盗1：黑珍珠号的诅咒/神鬼奇航：鬼盗船魔咒(台)/魔盗王：决战鬼盗船/海盗船,tt0325980,
十二怒汉,西德尼·吕美特,雷金纳德·罗斯,亨利·方达/马丁·鲍尔萨姆/约翰·菲德勒/李·科布/E.G.马绍尔/杰克·克卢格曼/爱德华·宾斯/杰克·瓦尔登/约瑟夫·史威尼/埃德·贝格利/乔治·沃斯科维奇/罗伯特·韦伯,剧情,美国,英语,1957-04-13(美国),96分钟,12怒汉,tt0050083,
倩女幽魂,程小东,阮继志,张国荣/王祖贤/午马/刘兆铭/林威/薛芷伦/胡大为/王晶,爱情/奇幻/武侠/古装,香港,粤语,2011-04-30(中国大陆)/1987-07-18(香港),98分钟(香港)/96分钟,倩女幽魂(87版)/倩女幽魂：妖魔道/AChineseGhostStory,tt0093978,
消失的爱人,大卫·芬奇,吉莉安·弗琳,本·阿弗莱克/裴淳华/尼尔·帕特里克·哈里斯/凯莉·库恩/泰勒·派瑞/金·迪肯斯/米西·派勒/波伊德·霍布鲁克/艾米丽·拉塔科斯基/雪拉·渥德/派屈克·福吉特/斯科特·麦克纳里/凯西·威尔逊/李·诺里斯,剧情/悬疑/惊悚/犯罪,美国,英语,2014-09-26(纽约电影节)/2014-10-03(美国),149分钟,失踪的女孩/失踪女孩/失踪罪(港)/控制(台),tt2267998,
拯救大兵瑞恩,史蒂文·斯皮尔伯格,罗伯特·罗达特,汤姆·汉克斯/汤姆·塞兹摩尔/爱德华·伯恩斯/巴里·佩珀/亚当·戈德堡/范·迪塞尔/吉奥瓦尼·瑞比西/杰瑞米·戴维斯/马特·达蒙/特德·丹森/保罗·吉亚玛提/丹尼斯·法里纳/马克斯·马蒂尼/丹兰·布鲁诺/丹尼尔·切尔奎拉/迪米特里·格里特萨斯/史蒂夫·格里芬/彼得·迈尔斯/亚当·肖/罗尔夫·萨克森/克里·约翰逊/洛克兰·艾肯/尚恩约翰逊/莱尔德·曼辛托斯/安德鲁·斯科特/马修·夏普/文森特·沃尔什/约翰·沙拉恩/马丁·哈伯/罗非洛·迪格托勒/恩里奇·雷德曼/米歇尔·埃文斯/内森·菲利安/勒兰德·奥瑟/大卫·维格/瑞恩·赫斯特/哈威·普雷斯内尔/代尔·戴/布莱恩·科兰斯顿/大卫·沃尔/埃里克·罗兰/哈里逊·杨/凯思琳·拜荣/约翰·德·兰西/詹姆斯·恩布里/德里克·李/若昂·科斯塔·梅内塞斯/马克·施泰因迈尔,剧情/历史/战争,美国,英语/法语/德语/捷克语,1998-07-24(美国),169分钟,雷霆救兵(港)/抢救雷恩大兵(台)/拯救大兵雷恩,tt0120815,
被嫌弃的松子的一生,中岛哲也,中岛哲也/山田宗树,中谷美纪/瑛太/香川照之/市川实日子/伊势谷友介/柄本明/黑泽明日香/荒川良良/柴崎幸/土屋安娜/奥之矢佳奈/谷原章介/武田真治/片平渚/宫藤官九郎/角野卓造/田中要次/木村凯拉/谷中敦/剧团一人,剧情/歌舞,日本,日语,2006-05-27(日本),130分钟,花样奇缘(港)/令人讨厌的松子的一生(台)/松子被嫌弃的一生/松子的悲惨人生/KirawareMatsukonoisshô/MemoriesofMatsuko,tt0768120,
禁闭岛,马丁·斯科塞斯,莱塔·卡罗格里迪斯/丹尼斯·勒翰,莱昂纳多·迪卡普里奥/马克·鲁弗洛/本·金斯利/马克斯·冯·叙多夫/米歇尔·威廉姆斯/艾米莉·莫迪默/派翠西娅·克拉克森/杰基·厄尔·哈利/泰德·拉文/约翰·卡洛·林奇/伊莱亚斯·科泰斯/罗宾·巴特利特/克里斯托弗·邓汉/约瑟夫·斯科拉,剧情/悬疑/惊悚,美国,英语/德语,2010-02-13(柏林电影节)/2010-02-19(美国),138分钟,不赦岛(港)/隔离岛(台)/孤岛疑云/荒岛追凶/孤岛恐慌/关门岛/孤岛/艾什克里夫,tt1130884,
饮食男女,李安,李安/王蕙玲/詹姆斯·夏慕斯,郎雄/杨贵媚/吴倩莲/王渝文/张艾嘉/归亚蕾/赵文瑄/陈昭荣/陈捷文/卢金城/唐语谦/洪其德/王瑞/杜满生/王玨/陈妤/左正芬/许敬民/聂卓晶/丁仲,剧情/家庭,台湾/美国,汉语普通话/闽南语/湖南话,1994-08-03(美国),124分钟,EatDrinkManWoman,tt0111797,
布达佩斯大饭店,韦斯·安德森,韦斯·安德森/雨果·吉尼斯/斯蒂芬·茨威格,拉尔夫·费因斯/托尼·雷沃罗利/艾德里安·布洛迪/威廉·达福/裘德·洛/爱德华·诺顿/西尔莎·罗南/蒂尔达·斯文顿/比尔·默瑞/蕾雅·赛杜/欧文·威尔逊/詹森·舒瓦兹曼/马修·阿马立克/F·默里·亚伯拉罕/汤姆·威尔金森/杰夫·高布伦/哈威·凯特尔,剧情/喜剧/冒险,美国/德国/英国,英语/法语/德语,2014-02-06(柏林电影节)/2014-03-28(美国),99分钟,布达佩斯大酒店(港)/欢迎来到布达佩斯大饭店(台),tt2278388,
死亡诗社,彼得·威尔,汤姆·舒尔曼,罗宾·威廉姆斯/罗伯特·肖恩·莱纳德/伊桑·霍克/乔西·查尔斯/盖尔·汉森/迪伦·库斯曼/阿勒隆·鲁杰罗/詹姆斯·沃特斯顿/诺曼·劳埃德/柯特伍德·史密斯/卡拉·贝尔韦尔/利昂·波纳尔/乔治·马丁/乔·奥菲耶里/马特·凯里/凯文·库尼/拉腊·弗林·鲍尔/亚历桑德拉·鲍尔斯/梅洛拉·沃尔特斯/PamelaBurrell/约翰·库宁汉姆/迪布拉·穆尼/库尔特·莱特纳/凯瑟·斯内德/JonasStiklorius/杰米·肯尼迪,剧情,美国,英语/拉丁语,1989-06-02(多伦多首映)/1989-06-09(美国),128分钟,暴雨骄阳(港)/春风化雨(台)/壮志骄阳,tt0097165,
指环王2：双塔奇兵,彼得·杰克逊,弗兰·威尔士/菲利帕·鲍恩斯/斯蒂芬·辛克莱/彼得·杰克逊/J·R·R·托尔金,伊莱贾·伍德/西恩·奥斯汀/伊恩·麦克莱恩/维果·莫腾森/奥兰多·布鲁姆/克里斯托弗·李/丽芙·泰勒/安迪·瑟金斯/雨果·维文/卡尔·厄本/凯特·布兰切特/多米尼克·莫纳汉/大卫·文翰/比利·博伊德/布拉德·道里夫/伯纳德·希尔/约翰·瑞斯-戴维斯/米兰达·奥图,剧情/动作/奇幻/冒险,美国/新西兰,英语/辛达林语/古代英语,2003-04-25(中国大陆)/2002-12-05(纽约首映)/2002-12-18(美国),179分钟/223分钟(加长版)/235分钟(蓝光加长版),魔戒二部曲：双城奇谋/指环王II：双塔/魔戒2：双塔奇谋,tt0167261,
蝴蝶效应,埃里克·布雷斯/J·麦基·格鲁伯,J·麦基·格鲁伯/埃里克·布雷斯,阿什顿·库彻/梅洛拉·沃尔特斯/艾米·斯马特/埃尔登·汉森/威廉姆·李·斯科特/约翰·帕特里克·阿梅多利/艾琳·戈洛瓦娅/凯文·G·施密特/杰西·詹姆斯/罗根·勒曼/莎拉·威多斯/杰克·凯斯/卡梅隆·布莱特/埃里克·斯托尔兹/考乐姆·吉斯·雷尼,剧情/科幻/悬疑/惊悚,美国/加拿大,英语,2004-01-23(美国),113分钟/120分钟(导演剪辑版),,tt0289879,
超能陆战队,唐·霍尔/克里斯·威廉姆斯,乔丹·罗伯茨/丹尼尔·吉尔森/罗伯特·L·贝尔德,斯科特·安第斯/瑞恩·波特/丹尼尔·海尼/T·J·米勒/杰米·钟/小达蒙·韦恩斯/珍尼希斯·罗德里格兹/詹姆斯·克伦威尔/艾伦·图代克/玛娅·鲁道夫/亚布拉哈姆·本鲁比/凯蒂·洛斯/比利·布什/丹尼尔·吉尔森/保罗·布里格斯,喜剧/动作/科幻/动画/冒险,美国,英语,2015-02-28(中国大陆)/2014-10-23(东京电影节)/2014-11-07(美国),102分钟,大英雄联盟(港)/大英雄天团(台)/六大英雄/(●—●),tt2245084,
摩登时代,查理·卓别林,查理·卓别林,查理·卓别林/宝莲·高黛/亨利·伯格曼/TinySandford/切斯特·康克林/汉克·曼/StanleyBlystone/阿尔·欧内斯特·加西亚/理查德·亚历山大/CecilReynolds/MiraMcKinney/MurdockMacQuarrie/威尔弗雷德·卢卡斯/EdwardLeSaint/FredMalatesta/SammyStein/TedOliver/NormanAinsley/BobbyBarber/海尼·康克林/格洛丽亚·德黑文/PatFlaherty/FrankHagney/PatHarmon/劳埃德·英格拉哈姆/沃尔特·詹姆斯/EdwardKimball/JackLow/BuddyMessinger/BruceMitchell/FrankMoran/JamesC.Morton/LouisNatheaux/J·C·纽金特/拉斯·鲍威尔/约翰兰德/哈里·威尔逊,剧情/喜剧/爱情,美国,英语,1936-02-25(美国),87分钟,"TheMasses/Tempsmodernes,Les",tt0027977,
钢铁侠,乔恩·费儒,阿特·马库姆/马特·霍洛维/马克·弗格斯/霍克·奥斯比,小罗伯特·唐尼/泰伦斯·霍华德/格温妮斯·帕特洛/杰夫·布里吉斯/莱丝莉·比伯/肖恩·托布/保罗·贝坦尼/乔恩·费儒/克拉克·格雷格,动作/科幻/惊悚/冒险,美国,英语/波斯语/乌尔都语/阿拉伯语,2008-04-30(中国大陆)/2008-04-14(悉尼首映)/2008-05-02(美国),126分钟,铁甲奇侠(港)/钢铁人(台)/铁人,tt0371746,
驴得水,周申/刘露,周申/刘露,任素汐/大力/刘帅良/裴魁山/阿如那/韩彦博/卜冠今/王堃/高阳/苏千越/亚瑟·麦克拉蒂/王峰,剧情/喜剧,中国大陆,汉语普通话,2016-10-28(中国大陆),111分钟,Mr.Donkey,tt6167014,
重庆森林,王家卫,王家卫,林青霞/金城武/梁朝伟/王菲/周嘉玲,剧情/爱情,香港,粤语/汉语普通话/英语/印地语/日语,1994-07-14(香港),102分钟/111分钟(台湾版DVD),ChungkingExpress,tt0109424,
驯龙高手,迪恩·德布洛斯/克里斯·桑德斯,威廉姆·戴维斯/迪恩·德布洛斯/克里斯·桑德斯/葛蕾熙达·柯维尔,杰伊·巴鲁切尔/杰拉德·巴特勒/克雷格·费格森/亚美莉卡·费雷拉/乔纳·希尔/克里斯托夫·梅兹-普莱瑟/T·J·米勒/克里斯汀·韦格/罗宾·阿特金·唐斯/菲利普·麦格雷德/基隆·埃利奥特/阿什利·詹森/大卫·田纳特,动画/奇幻/冒险,美国,英语,2010-05-14(中国大陆)/2010-03-18(俄罗斯)/2010-03-26(美国),98分钟,驯龙记(港),tt0892769,
哈利·波特与死亡圣器(下),大卫·叶茨,史蒂夫·克洛夫斯/J·K·罗琳,丹尼尔·雷德克里夫/艾玛·沃森/鲁伯特·格林特/海伦娜·伯翰·卡特/拉尔夫·费因斯/艾伦·瑞克曼/玛吉·史密斯/汤姆·费尔顿/邦妮·怀特/朱丽·沃特斯/迈克尔·刚本/伊文娜·林奇/多姆纳尔·格里森/克蕾曼丝·波西/詹森·艾萨克/海伦·麦克洛瑞/马修·刘易斯/梁佩诗/约翰·赫特/大卫·休里斯/加里·奥德曼/吉姆·布劳德本特/艾玛·汤普森/娜塔丽·特纳/蒂莫西·斯波/大卫·布拉德利/罗彼·考特拉尼/凯莉·麦克唐纳/塞伦·希德,剧情/悬疑/奇幻/冒险,美国/英国,英语,2011-08-04(中国大陆)/2011-07-15(美国),130分钟,哈利波特7：死神的圣物2(港/台)/哈利·波特与死圣(下)/哈7(下)/哈利·波特大结局,tt1201607,哈利·波特与死亡圣器
穿条纹睡衣的男孩,马克·赫尔曼,约翰·伯恩/马克·赫尔曼,阿萨·巴特菲尔德/维拉·法米加/卡拉·霍根/祖萨·霍尔/安贝尔·比蒂/拉斯洛·阿隆/大卫·休里斯/理查德·约翰逊/谢拉·汉考克/伊凡·弗雷贝利/贝拉·费斯彼姆/阿提拉·埃杰德/鲁伯特·弗兰德/大卫·海曼/吉姆·诺顿/杰克·塞隆/米哈利·绍鲍多什/泽索特·萨法尔·科夫卡/奥索利亚·茱莉娅·帕普,剧情/战争,英国/美国,英语/西班牙语,2008-09-12(英国)/2008-11-07(美国),94分钟,穿条纹衣服的男孩/穿条纹衣的男孩,tt0914798,
春光乍泄,王家卫,王家卫,张国荣/梁朝伟/张震,剧情/爱情/同性,香港/日本/韩国,粤语/汉语普通话/西班牙语,1997-05-17(戛纳电影节)/1997-05-30(香港),96分钟,一起快乐/HappyTogether,tt0118845,
音乐之声,罗伯特·怀斯,乔治·胡达勒克/霍华德·林赛/拉塞尔·克劳斯/恩斯特·莱赫曼/MariavonTrapp,朱莉·安德鲁斯/克里斯托弗·普卢默/埃琳诺·帕克/理查德·海顿/佩吉·伍德/查尔敏·卡尔/希瑟·孟席斯-尤里克/尼古拉斯·哈蒙德/杜安·蔡斯/安吉拉·卡特怀特/黛比·特纳/基姆·卡拉思/安娜·李/波希娅·纳尔逊/本·怀特/丹尼尔·特鲁希特/诺玛·威登/吉尔克里斯特·斯图尔特/马妮·尼克松/埃瓦德妮·贝克/多丽丝·劳埃德/格特鲁德·阿斯特/弗兰克·贝克/SteveCarruthers/山姆·哈里斯/DorothyJeakins/LeodaRichards/杰弗里·塞尔/BernardSell/NormanStevans/BertStevens/MariavonTrapp,剧情/爱情/歌舞/传记,美国,英语/德语,1965-03-02(美国),174分钟,仙乐飘飘处处闻(港)/真善美(台)/一个叛逆修女的故事,tt0059742,
心灵捕手,格斯·范·桑特,本·阿弗莱克/马特·达蒙,马特·达蒙/罗宾·威廉姆斯/本·阿弗莱克/斯特兰·斯卡斯加德/明妮·德里弗/卡西·阿弗莱克/科尔·豪瑟/JohnMighton/DanWashington/艾莉森·福兰德/维克·萨海/史提文科兹洛夫斯基/斯科特·威廉姆·文特斯/JimmyFlynn/乔治·普林普顿/弗朗切斯科·克莱门特,剧情,美国,英语,1997-12-05(美国),126分钟,骄阳似我(港),tt0119217,
两杆大烟枪,盖·里奇,盖·里奇,杰森·弗莱明/德克斯特·弗莱彻/尼克·莫兰/杰森·斯坦森/斯蒂文·麦金托什/斯汀/维尼·琼斯,剧情/喜剧/犯罪,英国,英语,1998-08-28(英国),107分钟/115分钟(导演剪辑版),够姜四小强(港)/两根枪管(台)/两只老烟枪/魔高一丈/两杆老烟枪,tt0120735,
釜山行,延尚昊,延尚昊,孔侑/郑有美/马东锡/金秀安/金义城/崔宇植/安昭熙/沈恩京/禹都临,动作/惊悚/灾难,韩国,韩语,2016-05-13(戛纳电影节)/2016-07-20(韩国),118分钟,尸速列车(台)/尸杀列车(港)/TraintoBusan/Busanhaeng,tt5700672,
致命魔术,克里斯托弗·诺兰,乔纳森·诺兰/克里斯托弗·诺兰/克里斯托弗·普瑞丝特,休·杰克曼/克里斯蒂安·贝尔/迈克尔·凯恩/丽贝卡·豪尔/斯嘉丽·约翰逊/大卫·鲍伊/安迪·瑟金斯/派珀·佩拉博/萨曼塔·马霍林/丹尼尔·戴维斯/吉姆·皮多克/克里斯托弗·尼姆/马克·瑞安/罗杰·里斯/杰米·哈里斯/罗恩·帕金斯/瑞奇·杰/安东尼·德·马克/冀朝理,剧情/悬疑/惊悚,美国/英国,英语,2006-10-20(美国),130分钟,顶尖对决(台)/死亡魔法(港)/魔高一丈/魔道争锋,tt0482571,
复仇者联盟,乔斯·韦登,乔斯·韦登/扎克·佩恩,小罗伯特·唐尼/克里斯·埃文斯/斯嘉丽·约翰逊/克里斯·海姆斯沃斯/杰瑞米·雷纳/马克·鲁弗洛/塞缪尔·杰克逊/汤姆·希德勒斯顿/斯特兰·斯卡斯加德/寇碧·史莫德斯/克拉克·格雷格/保罗·贝坦尼/格温妮斯·帕特洛,动作/科幻/奇幻/冒险,美国,英语/俄语,2012-05-05(中国大陆)/2012-05-04(美国),142分钟,复仇者/复联/妇联(豆友译名),tt0848228,
