电影,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,又名,IMDb链接
灵魂摆渡·黄泉,巨兴茂,小吉祥天,于毅/何花/王瑞昌/岳丽娜/倪虹洁/巨兴茂/鲁佳妮,悬疑/惊悚/奇幻,中国大陆,汉语普通话,2018-02-01(中国大陆),111分钟,灵魂摆渡大电影/灵魂摆渡电影版/灵魂摆渡·黄泉篇,tt7959042
神探蒲松龄,严嘉,刘伯翰/简文,成龙/阮经天/钟楚曦/林柏宏/林鹏/乔杉/潘长江/苑琼丹/刘智福/刘智满/刘智堂/姜嫄,喜剧/动作/奇幻,中国大陆,汉语普通话,2019-02-05(中国大陆),108分钟,神探蒲松龄之兰若仙踪/TheKnightofShadows:BetweenYinandYang/KnightofShadows:WalkerBetweenHalfworlds,tt7587984
暴雪将至,董越,董越,段奕宏/江一燕/杜源/郑伟/郑楚一/张林,剧情/悬疑/犯罪,中国大陆,汉语普通话,2017-11-17(中国大陆)/2017-10-29(东京电影节),120分钟,TheLoomingStorm/TheStormLooming,tt7649320
未择之路,唐高鹏,岳小军/唐高鹏/段喆卿,王学兵/朱耕佑/马伊琍/王旭峰/岳小军/王槊/曲高位,剧情/犯罪,中国大陆,汉语普通话,2018-09-14(中国大陆)/2018-06-19(上海电影节),113分钟,TheRoadNotTaken,tt9020130
胖子行动队,包贝尔,张鹏/刘智林,文章/包贝尔/郭京飞/李成敏/辣目洋子/许君聪/曾一竣/张梦露/戚玉武/仓田保昭/木幡龙/宋佳/文隽,喜剧/动作,中国大陆,汉语普通话,2018-09-30(中国大陆),108分钟,FatBuddies,tt8845432
冥王星时刻,章明,章明/龚竽溪,王学兵/刘丹/曾美慧孜/易平/易大千/李心然/母其弥雅,剧情,中国大陆,汉语普通话,2018-12-07(中国大陆)/2018-05-16(戛纳电影节),110分钟,穿过黑夜/黑暗传/TheMomentofPluto/ThePlutoMoment,tt7628080
鲛珠传,杨磊,张炭/徐照青/杨磊,王大陆/张天爱/任达华/盛冠森/王迅/赵健/刘俊孝/释彦能/胡兵/何穗/蒋璐霞/杜奕衡/周一围,喜剧/动作/爱情/奇幻,中国大陆/香港,汉语普通话,2017-08-11(中国大陆),108分钟,LegendoftheNagaPearls,tt6288650
熊出没·原始时代,丁亮/林汇达,徐芸/万秦/蒋琳,张伟/张秉君/谭笑/宋祖儿/刘思奇/万丹青/刘沛/孟雨田,喜剧/动画/冒险,中国大陆,汉语普通话,2019-02-05(中国大陆),88分钟,熊出没6/熊出没大电影6/BoonieBears:BlastIntoThePast,
反转人生,伍仕贤,伍仕贤/贾斯汀·麦伦,夏雨/闫妮/潘斌龙/宋茜/吴大维/宁静/王宝强/雷佳音/李勤勤/郭凯敏/包贝尔/英达/景岗山/李静/肖剑/隋凯/吴彦祖/田雷/吴超/王祉萱/李振平/张英伟/滕雨佳/于婉丽/祁琪/肖瑶/吴冬妮/王今心/张昕琦/张昕瑶/佘铂诚/张泉通/黄兆暄/丁俨/萧群/李雷雷/李冉/丰林虎/付云云/安笑歌/陈彦廷/李振刚/李奕臻/杜海/佟野/刘妍冰/十三姨/马兰杏/闫长海/崔健/翁力/史元庭/马国健/应超男,喜剧/奇幻,中国大陆,汉语普通话,2017-06-29(中国大陆),110分钟,Wished,tt3308358
泄密者,邱礼涛,李敏/李昇,吴镇宇/张智霖/佘诗曼/周秀娜/郑则仕/刘浩龙/张继聪/李灿森/卫诗雅/杨柳青/灰熊/林嘉华,剧情/犯罪,香港,粤语/汉语普通话,2018-06-15(中国大陆)/2018-06-21(香港),100分钟,泄密者们/TheLeakers,tt8490838
英雄本色2018,丁晟,丁晟/许阳,王凯/马天宇/王大陆/余皑磊/林雪/吴樾/李梦/张艺上/姜珮瑶/李岷城/宁浩/韩寒/丁晟/曾志伟,剧情/动作,中国大陆/香港,汉语普通话,2018-01-18(中国大陆),114分钟,英雄本色4/ABetterTomorrow2018,tt5846644
“吃吃”的爱,蔡康永,蔡康永,徐熙娣/林志玲/金世佳/李子峰/陈汉典/范湉湉/傅雷/沈玉琳/梁赫群/赵正平/高山峰/马国贤/利晴天/曾恺玹/陈为民/小钟/谢依霖/仇佩佩/小甜甜/黄腾浩/郭文颐/张立东/杨升达/韩宜邦,喜剧/爱情/奇幻,中国大陆/香港/台湾,汉语普通话,2017-05-27(中国大陆/台湾),90分钟,吃吃的爱/吃吃睡睡爱/Didi'sDreams,tt6912580
巨额来电,彭顺,柳桦,陈学冬/张孝全/桂纶镁/蒋梦婕/姜超/张兆辉/陈欣健/何华超/雪村/谭凯,剧情/犯罪,中国大陆/香港,汉语普通话,2017-12-08(中国大陆),123分钟,猜猜我是谁/反诈风暴/TheBigCall,tt7039862
阿拉姜色,松太加,松太加/扎西达娃,容中尔甲/尼玛颂宋/赛却加,剧情/家庭,中国大陆,藏语,2018-10-26(中国大陆)/2018-06-23(上海电影节),109分钟,AlaChangso,tt9159816
机器之血,张立嘉,张立嘉/崔斯韦/夏侯云姗,成龙/罗志祥/欧阳娜娜/夏侯云姗/卡兰·马尔韦/泰丝·哈乌布里奇/吉娜·卡拉诺,剧情/动作/科幻,中国大陆,汉语普通话,2017-12-22(中国大陆),110分钟,BleedingSteel,tt5813366
武林怪兽,刘伟强,荣超/林挺,古天乐/陈学冬/郭碧婷/包贝尔/王太利/周冬雨/吴樾/潘斌龙/孔连顺/刘浩/梁大维/许君聪/方中信/何润东/薛凯琪/颖儿/李灿森/卢惠光,喜剧/奇幻/武侠,中国大陆/香港,汉语普通话,2018-12-21(中国大陆),104分钟,WhenRobbersMeetTheMonster/KungFuMonster,tt9378850
空天猎,李晨,李晨/张力/刘毅/高岩/褚翔宇,李晨/范冰冰/王千源/李佳航/赵达/李晨浩/郭洺宇/叶浏/陆思宇/托马尔·奥兹/吴秀波/邓超/王学圻,剧情/动作/战争,中国大陆,汉语普通话,2017-09-29(中国大陆),115分钟,霸天狼/SkyHunter,tt6908536
